Customer ID,Gender,Age,City,Membership Type,Total Spend,Items Purchased,Average Rating,Discount Applied,Days Since Last Purchase,Satisfaction Level,spend_per_item,is_high_spender,is_active,discount_flag,recency_score,frequency_score,monetary_score,ai_personalization_score,ai_recommendation,ltv_proxy
373,Male,28,San Francisco,Gold,1480.1,21,4.9,False,11,Satisfied,70.48,1,1,0,Recent,High,High,0.8537,VIP — personalize heavily,2417.5
183,Male,27,Miami,Silver,710.4,13,4.1,True,54,Unsatisfied,54.65,0,0,1,Dormant,Mid,Mid,0.5064,Nurture,601.02
126,Male,35,Los Angeles,Silver,810.9,12,4.3,False,13,Neutral,67.58,1,1,0,Recent,Mid,Mid,0.5632,Nurture,664.17
339,Female,38,Houston,Bronze,440.9,8,3.2,False,24,Neutral,55.11,0,1,0,Mid,Low,Low,0.1444,Low priority,179.16
110,Male,28,San Francisco,Gold,1520.1,21,4.8,False,9,Satisfied,72.39,1,1,0,Recent,High,High,0.8702,VIP — personalize heavily,2432.16
194,Male,29,San Francisco,Gold,1370.2,18,4.7,False,10,Satisfied,76.12,1,1,0,Recent,High,High,0.7773,VIP — personalize heavily,1839.98
296,Male,29,San Francisco,Gold,1370.2,18,4.7,False,10,Satisfied,76.12,1,1,0,Recent,High,High,0.7773,VIP — personalize heavily,1839.98
395,Male,35,Los Angeles,Silver,800.9,12,4.1,False,17,Neutral,66.74,1,1,0,Recent,Mid,Mid,0.5165,Nurture,625.46
278,Male,28,San Francisco,Gold,1490.1,21,4.9,False,9,Satisfied,70.96,1,1,0,Recent,High,High,0.8719,VIP — personalize heavily,2433.83
123,Male,27,Miami,Silver,710.4,13,4.1,True,54,Unsatisfied,54.65,0,0,1,Dormant,Mid,Mid,0.5064,Nurture,601.02
220,Female,36,Houston,Bronze,460.5,8,3.1,False,19,Neutral,57.56,0,1,0,Mid,Low,Low,0.1721,Low priority,181.28
383,Male,35,Los Angeles,Silver,820.9,12,4.3,False,15,Neutral,68.41,1,1,0,Recent,Mid,Mid,0.5596,Nurture,672.36
156,Male,35,Los Angeles,Silver,810.9,12,4.3,False,13,Neutral,67.58,1,1,0,Recent,Mid,Mid,0.5632,Nurture,664.17
143,Female,31,New York,Gold,1130.6,15,4.5,True,26,Satisfied,75.37,1,1,1,Mid,High,High,0.6972,VIP — personalize heavily,1211.36
131,Female,30,New York,Gold,1190.8,16,4.5,True,20,Satisfied,74.42,1,1,1,Mid,High,High,0.7765,VIP — personalize heavily,1360.91
309,Female,38,Houston,Bronze,460.9,8,3.2,False,25,Neutral,57.61,0,1,0,Mid,Low,Low,0.1554,Low priority,187.29
410,Male,32,Miami,Silver,660.3,10,3.8,True,39,Unsatisfied,66.03,0,0,1,Dormant,Low,Low,0.3908,Nurture,398.28
214,Female,37,Houston,Bronze,430.8,7,3.4,False,23,Neutral,61.54,0,1,0,Mid,Low,Low,0.1386,Low priority,162.75
185,Female,31,New York,Gold,1140.6,15,4.6,True,27,Satisfied,76.04,1,1,1,Mid,High,High,0.7129,VIP — personalize heavily,1249.23
438,Female,43,Chicago,Bronze,505.75,10,3.3,True,48,Unsatisfied,50.58,0,0,1,Dormant,Low,Low,0.3051,Low priority,264.92
106,Female,37,Houston,Bronze,440.8,8,3.1,False,22,Neutral,55.1,0,1,0,Mid,Low,Low,0.1423,Low priority,173.52
350,Male,32,Miami,Silver,690.3,10,3.8,True,34,Unsatisfied,69.03,0,0,1,Dormant,Low,Mid,0.4214,Nurture,416.37
253,Female,43,Chicago,Bronze,505.75,10,3.3,True,39,Unsatisfied,50.58,0,0,1,Dormant,Low,Low,0.3242,Low priority,264.92
158,Male,28,San Francisco,Gold,1500.1,21,4.9,False,10,Satisfied,71.43,1,1,0,Recent,High,High,0.8741,VIP — personalize heavily,2450.16
389,Male,34,Los Angeles,Silver,780.2,11,4.1,False,16,Neutral,70.93,1,1,0,Recent,Mid,Mid,0.4769,Nurture,558.52
174,Male,35,Los Angeles,Silver,820.9,12,4.3,False,12,Neutral,68.41,1,1,0,Recent,Mid,Mid,0.5797,Nurture,672.36
424,Female,30,New York,Gold,1190.8,16,4.5,True,27,Satisfied,74.42,1,1,1,Mid,High,High,0.7471,VIP — personalize heavily,1360.91
439,Male,30,San Francisco,Gold,1460.5,20,4.8,False,15,Satisfied,73.03,1,1,0,Recent,High,High,0.7871,VIP — personalize heavily,2225.52
104,Male,30,San Francisco,Gold,1480.3,19,4.7,False,12,Satisfied,77.91,1,1,0,Recent,High,High,0.8019,VIP — personalize heavily,2098.27
209,Female,30,New York,Gold,1180.8,16,4.7,True,19,Satisfied,73.8,1,1,1,Mid,High,High,0.796,VIP — personalize heavily,1409.46
210,Male,34,Los Angeles,Silver,790.2,11,4.0,False,15,Neutral,71.84,1,1,0,Recent,Mid,Mid,0.4736,Nurture,551.89
341,Male,34,Los Angeles,Silver,800.2,11,4.1,False,17,Neutral,72.75,1,1,0,Recent,Mid,Mid,0.4891,Nurture,572.84
386,Male,32,Miami,Silver,660.3,10,3.8,True,37,Unsatisfied,66.03,0,0,1,Dormant,Low,Low,0.3998,Nurture,398.28
147,Male,32,Miami,Silver,680.3,10,3.8,True,32,Unsatisfied,68.03,0,0,1,Mid,Low,Mid,0.4236,Nurture,410.34
304,Male,31,New York,Gold,1210.6,17,4.8,True,18,Satisfied,71.21,1,1,1,Recent,High,High,0.8404,VIP — personalize heavily,1568.02
173,Female,31,New York,Gold,1130.6,15,4.5,True,26,Satisfied,75.37,1,1,1,Mid,High,High,0.6972,VIP — personalize heavily,1211.36
215,Female,31,New York,Gold,1140.6,15,4.6,True,27,Satisfied,76.04,1,1,1,Mid,High,High,0.7129,VIP — personalize heavily,1249.23
277,Female,41,Chicago,Bronze,480.25,9,3.6,True,38,Unsatisfied,53.36,0,0,1,Dormant,Low,Low,0.3054,Low priority,246.99
134,Male,29,San Francisco,Gold,1370.2,18,4.7,False,10,Satisfied,76.12,1,1,0,Recent,High,High,0.7773,VIP — personalize heavily,1839.98
164,Male,29,San Francisco,Gold,1370.2,18,4.7,False,10,Satisfied,76.12,1,1,0,Recent,High,High,0.7773,VIP — personalize heavily,1839.98
440,Male,27,Miami,Silver,710.4,13,4.1,True,63,Unsatisfied,54.65,0,0,1,Dormant,Mid,Mid,0.5006,Nurture,601.02
177,Male,32,Miami,Silver,680.3,10,3.8,True,32,Unsatisfied,68.03,0,0,1,Mid,Low,Mid,0.4236,Nurture,410.34
195,Male,26,Miami,Silver,690.6,12,3.9,True,47,Unsatisfied,57.55,0,0,1,Dormant,Mid,Mid,0.4539,Nurture,513.02
282,Male,34,Los Angeles,Silver,790.2,11,4.0,False,15,Neutral,71.84,1,1,0,Recent,Mid,Mid,0.4736,Nurture,551.89
280,Female,36,Houston,Bronze,470.5,8,3.0,False,18,Neutral,58.81,0,1,0,Recent,Low,Low,0.1788,Low priority,179.24
300,Male,34,Los Angeles,Silver,800.2,11,4.1,False,17,Neutral,72.75,1,1,0,Recent,Mid,Mid,0.4891,Nurture,572.84
427,Male,30,San Francisco,Gold,1450.5,19,4.6,False,14,Satisfied,76.34,1,1,0,Recent,High,High,0.7556,VIP — personalize heavily,2012.28
329,Male,35,Los Angeles,Silver,820.9,12,4.3,False,13,Neutral,68.41,1,1,0,Recent,Mid,Mid,0.5718,Nurture,672.36
179,Female,30,New York,Gold,1180.8,16,4.7,True,19,Satisfied,73.8,1,1,1,Mid,High,High,0.796,VIP — personalize heavily,1409.46
191,Female,30,New York,Gold,1190.8,16,4.5,True,20,Satisfied,74.42,1,1,1,Mid,High,High,0.7765,VIP — personalize heavily,1360.91
117,Male,26,Miami,Silver,700.6,12,3.7,True,48,Unsatisfied,58.38,0,0,1,Dormant,Mid,Mid,0.4436,Nurture,493.76
167,Female,32,New York,Gold,1160.3,14,4.4,True,22,Satisfied,82.88,1,1,1,Mid,Mid,High,0.707,VIP — personalize heavily,1134.52
388,Female,30,New York,Gold,1200.8,16,4.7,True,24,Satisfied,75.05,1,1,1,Mid,High,High,0.7864,VIP — personalize heavily,1433.34
108,Male,35,Los Angeles,Silver,800.9,12,4.2,False,14,Neutral,66.74,1,1,0,Recent,Mid,Mid,0.5414,Nurture,640.72
211,Female,43,Chicago,Bronze,505.75,10,3.3,True,39,Unsatisfied,50.58,0,0,1,Dormant,Low,Low,0.3242,Low priority,264.92
303,Female,35,Houston,Bronze,450.6,7,3.3,False,21,Neutral,64.37,0,1,0,Mid,Low,Low,0.1511,Low priority,165.22
411,Female,36,Houston,Bronze,440.5,8,3.1,False,24,Neutral,55.06,0,1,0,Mid,Low,Low,0.1307,Low priority,173.4
413,Male,34,Los Angeles,Silver,780.2,11,4.1,False,17,Neutral,70.93,1,1,0,Recent,Mid,Mid,0.4737,Nurture,558.52
238,Female,36,Houston,Bronze,470.5,8,3.0,False,18,Neutral,58.81,0,1,0,Recent,Low,Low,0.1788,Low priority,179.24
254,Male,30,San Francisco,Gold,1470.5,20,4.8,False,13,Satisfied,73.53,1,1,0,Recent,High,High,0.8071,VIP — personalize heavily,2240.76
202,Female,37,Houston,Bronze,420.8,7,3.1,False,21,Neutral,60.11,0,1,0,Mid,Low,Low,0.1094,Low priority,144.94
363,Female,36,Houston,Bronze,430.5,8,3.1,False,21,Neutral,53.81,0,1,0,Mid,Low,Low,0.1326,Low priority,169.47
161,Female,30,New York,Gold,1190.8,16,4.5,True,20,Satisfied,74.42,1,1,1,Mid,High,High,0.7765,VIP — personalize heavily,1360.91
447,Female,36,Houston,Bronze,470.5,8,3.0,False,27,Neutral,58.81,0,1,0,Mid,Low,Low,0.1376,Low priority,179.24
349,Male,28,San Francisco,Gold,1480.1,21,4.9,False,10,Satisfied,70.48,1,1,0,Recent,High,High,0.8586,VIP — personalize heavily,2417.5
351,Female,36,Houston,Bronze,480.5,8,3.1,False,20,Neutral,60.06,0,1,0,Mid,Low,Low,0.1903,Low priority,189.15
311,Male,34,Los Angeles,Silver,810.2,11,4.0,False,14,Neutral,73.65,1,1,0,Recent,Mid,Mid,0.4942,Nurture,565.85
415,Male,30,San Francisco,Gold,1460.5,20,4.8,False,14,Satisfied,73.03,1,1,0,Recent,High,High,0.7923,VIP — personalize heavily,2225.52
118,Female,38,Houston,Bronze,450.9,8,3.0,False,25,Neutral,56.36,0,1,0,Mid,Low,Low,0.1325,Low priority,171.77
241,Female,43,Chicago,Bronze,505.75,10,3.3,True,39,Unsatisfied,50.58,0,0,1,Dormant,Low,Low,0.3242,Low priority,264.92
125,Female,31,New York,Gold,1140.6,15,4.6,True,27,Satisfied,76.04,1,1,1,Mid,High,High,0.7129,VIP — personalize heavily,1249.23
408,Female,41,Chicago,Bronze,495.25,9,3.6,True,45,Unsatisfied,55.03,0,0,1,Dormant,Low,Low,0.3004,Low priority,254.7
432,Female,41,Chicago,Bronze,495.25,9,3.6,True,47,Unsatisfied,55.03,0,0,1,Dormant,Low,Low,0.2968,Low priority,254.7
323,Male,34,Los Angeles,Silver,790.2,11,4.0,False,15,Neutral,71.84,1,1,0,Recent,Mid,Mid,0.4736,Nurture,551.89
340,Female,32,New York,Gold,1160.3,14,4.4,True,22,Satisfied,82.88,1,1,1,Mid,Mid,High,0.707,VIP — personalize heavily,1134.52
446,Male,32,Miami,Silver,660.3,10,3.8,True,42,Unsatisfied,66.03,0,0,1,Dormant,Low,Low,0.3809,Nurture,398.28
298,Female,38,Houston,Bronze,440.9,8,3.2,False,24,Neutral,55.11,0,1,0,Mid,Low,Low,0.1444,Low priority,179.16
233,Female,31,New York,Gold,1130.6,15,4.5,True,26,Satisfied,75.37,1,1,1,Mid,High,High,0.6972,VIP — personalize heavily,1211.36
359,Male,35,Los Angeles,Silver,810.9,12,4.3,False,14,Neutral,67.58,1,1,0,Recent,Mid,Mid,0.5561,Nurture,664.17
429,Female,37,Houston,Bronze,430.8,7,3.4,False,31,Neutral,61.54,0,0,0,Mid,Low,Low,0.1156,Low priority,162.75
435,Female,36,Houston,Bronze,440.5,8,3.1,False,28,Neutral,55.06,0,1,0,Mid,Low,Low,0.1164,Low priority,173.4
120,Male,34,Los Angeles,Silver,790.2,11,4.0,False,16,Neutral,71.84,1,1,0,Recent,Mid,Mid,0.4702,Nurture,551.89
240,Male,34,Los Angeles,Silver,790.2,11,4.0,False,15,Neutral,71.84,1,1,0,Recent,Mid,Mid,0.4736,Nurture,551.89
180,Male,34,Los Angeles,Silver,790.2,11,4.0,False,15,Neutral,71.84,1,1,0,Recent,Mid,Mid,0.4736,Nurture,551.89
217,Female,41,Chicago,Bronze,485.25,9,3.6,True,39,Unsatisfied,53.92,0,0,1,Dormant,Low,Low,0.3069,Low priority,249.56
119,Female,32,New York,Gold,1170.3,14,4.7,True,29,Satisfied,83.59,1,1,1,Mid,Mid,High,0.7211,VIP — personalize heavily,1222.31
324,Female,43,Chicago,Bronze,505.75,10,3.3,True,39,Unsatisfied,50.58,0,0,1,Dormant,Low,Low,0.3242,Low priority,264.92
205,Female,41,Chicago,Bronze,480.25,9,3.6,True,38,Unsatisfied,53.36,0,0,1,Dormant,Low,Low,0.3054,Low priority,246.99
372,Female,41,Chicago,Bronze,475.25,9,3.6,True,42,Unsatisfied,52.81,0,0,1,Dormant,Low,Low,0.2854,Low priority,244.41
132,Male,33,Los Angeles,Silver,830.75,13,4.2,False,14,Satisfied,63.9,1,1,0,Recent,Mid,Mid,0.5869,Nurture,719.98
355,Male,30,San Francisco,Gold,1440.5,19,4.6,False,12,Satisfied,75.82,1,1,0,Recent,High,High,0.7685,VIP — personalize heavily,1998.41
249,Male,32,Miami,Silver,680.3,10,3.8,True,32,Unsatisfied,68.03,0,0,1,Mid,Low,Mid,0.4236,Nurture,410.34
281,Female,30,New York,Gold,1180.8,16,4.7,True,19,Satisfied,73.8,1,1,1,Mid,High,High,0.796,VIP — personalize heavily,1409.46
433,Male,28,San Francisco,Gold,1490.1,21,4.9,False,11,Satisfied,70.96,1,1,0,Recent,High,High,0.8614,VIP — personalize heavily,2433.83
406,Female,31,New York,Gold,1160.6,15,4.5,True,33,Satisfied,77.37,1,0,1,Dormant,High,High,0.7017,VIP — personalize heavily,1243.5
366,Female,43,Chicago,Bronze,505.75,10,3.3,True,42,Unsatisfied,50.58,0,0,1,Dormant,Low,Low,0.3144,Low priority,264.92
264,Male,33,Los Angeles,Silver,830.75,13,4.2,False,14,Satisfied,63.9,1,1,0,Recent,Mid,Mid,0.5869,Nurture,719.98
160,Female,36,Houston,Bronze,460.5,8,3.1,False,19,Neutral,57.56,0,1,0,Mid,Low,Low,0.1721,Low priority,181.28
248,Male,28,San Francisco,Gold,1490.1,21,4.9,False,9,Satisfied,70.96,1,1,0,Recent,High,High,0.8719,VIP — personalize heavily,2433.83
393,Female,37,Houston,Bronze,450.8,7,3.4,False,28,Neutral,64.4,0,1,0,Mid,Low,Low,0.1375,Low priority,170.3
212,Male,30,San Francisco,Gold,1470.5,20,4.8,False,13,Satisfied,73.53,1,1,0,Recent,High,High,0.8071,VIP — personalize heavily,2240.76
246,Male,35,Los Angeles,Silver,820.9,12,4.3,False,12,Neutral,68.41,1,1,0,Recent,Mid,Mid,0.5797,Nurture,672.36
116,Male,29,San Francisco,Gold,1360.2,18,4.9,False,11,Satisfied,75.57,1,1,0,Recent,High,High,0.7941,VIP — personalize heavily,1904.28
321,Female,36,Houston,Bronze,470.5,8,3.0,False,18,Neutral,58.81,0,1,0,Recent,Low,Low,0.1788,Low priority,179.24
107,Female,31,New York,Gold,1150.6,15,4.5,True,28,Satisfied,76.71,1,1,1,Mid,High,High,0.703,VIP — personalize heavily,1232.79
354,Female,43,Chicago,Bronze,510.75,10,3.3,True,41,Unsatisfied,51.08,0,0,1,Dormant,Low,Low,0.3221,Low priority,267.54
332,Male,32,Miami,Silver,670.3,10,3.8,True,33,Unsatisfied,67.03,0,0,1,Dormant,Low,Mid,0.4131,Nurture,404.31
111,Male,32,Miami,Silver,690.3,11,3.8,True,34,Unsatisfied,62.75,0,0,1,Dormant,Mid,Mid,0.4482,Nurture,458.01
259,Female,41,Chicago,Bronze,485.25,9,3.6,True,39,Unsatisfied,53.92,0,0,1,Dormant,Low,Low,0.3069,Low priority,249.56
378,Female,43,Chicago,Bronze,515.75,10,3.3,True,43,Unsatisfied,51.58,0,0,1,Dormant,Low,Low,0.3221,Low priority,270.15
182,Male,30,San Francisco,Gold,1470.5,20,4.8,False,13,Satisfied,73.53,1,1,0,Recent,High,High,0.8071,VIP — personalize heavily,2240.76
320,Male,32,Miami,Silver,680.3,10,3.8,True,32,Unsatisfied,68.03,0,0,1,Mid,Low,Mid,0.4236,Nurture,410.34
297,Male,26,Miami,Silver,690.6,12,3.9,True,47,Unsatisfied,57.55,0,0,1,Dormant,Mid,Mid,0.4539,Nurture,513.02
273,Male,27,Miami,Silver,700.4,13,4.0,True,53,Unsatisfied,53.88,0,0,1,Dormant,Mid,Mid,0.4845,Nurture,578.11
276,Male,35,Los Angeles,Silver,820.9,12,4.3,False,12,Neutral,68.41,1,1,0,Recent,Mid,Mid,0.5797,Nurture,672.36
333,Female,36,Houston,Bronze,460.5,8,3.1,False,19,Neutral,57.56,0,1,0,Mid,Low,Low,0.1721,Low priority,181.28
430,Female,31,New York,Gold,1160.6,15,4.5,True,35,Satisfied,77.37,1,0,1,Dormant,High,High,0.6981,VIP — personalize heavily,1243.5
193,Female,42,Chicago,Bronze,520.4,9,3.5,True,37,Unsatisfied,57.82,0,0,1,Dormant,Low,Low,0.339,Nurture,260.2
170,Male,30,San Francisco,Gold,1460.5,20,4.8,False,12,Satisfied,73.03,1,1,0,Recent,High,High,0.8073,VIP — personalize heavily,2225.52
402,Female,43,Chicago,Bronze,515.75,10,3.3,True,45,Unsatisfied,51.58,0,0,1,Dormant,Low,Low,0.3204,Low priority,270.15
197,Female,32,New York,Gold,1160.3,14,4.4,True,22,Satisfied,82.88,1,1,1,Mid,Mid,High,0.707,VIP — personalize heavily,1134.52
244,Female,37,Houston,Bronze,430.8,7,3.4,False,23,,61.54,0,1,0,Mid,Low,Low,0.1386,Low priority,162.75
368,Male,27,Miami,Silver,710.4,13,4.1,True,57,Unsatisfied,54.65,0,0,1,Dormant,Mid,Mid,0.5032,Nurture,601.02
198,Male,34,Los Angeles,Silver,800.2,11,4.1,False,17,Neutral,72.75,1,1,0,Recent,Mid,Mid,0.4891,Nurture,572.84
445,Male,28,San Francisco,Gold,1480.1,21,4.9,False,13,Satisfied,70.48,1,1,0,Recent,High,High,0.8409,VIP — personalize heavily,2417.5
169,Female,43,Chicago,Bronze,500.75,10,3.3,True,40,Unsatisfied,50.08,0,0,1,Dormant,Low,Low,0.3116,Low priority,262.3
124,Female,37,Houston,Bronze,430.8,7,3.4,False,23,Neutral,61.54,0,1,0,Mid,Low,Low,0.1386,Low priority,162.75
