date,platform,campaign_type,industry,country,impressions,clicks,CTR,CPC,ad_spend,conversions,CPA,revenue,ROAS,month,conversion_rate,cost_per_1000_impressions,revenue_per_click,profit,profit_margin,ai_priority_score,ai_recommendation
2024-08-20,TikTok Ads,Search,Fintech,Germany,38828,3607,0.0929,0.97,3498.79,116,30.16,8788.51,2.51,2024-08,0.03215968949265317,90.10997218502112,2.4365151095092874,5289.72,0.6018904228361804,0.4817916666666667,Monitor / test
2024-12-25,Meta Ads,Video,SaaS,Canada,187957,4586,0.0244,2.1,9630.6,271,35.54,34433.97,3.58,2024-12,0.059092891408634975,51.23831514654948,7.508497601395552,24803.370000000003,0.7203168847507273,0.4675277777777777,Monitor / test
2024-11-01,Google Ads,Video,SaaS,Canada,34592,1615,0.0467,1.15,1857.25,116,16.01,4344.96,2.34,2024-11,0.0718266253869969,53.69015957446808,2.6903777089783283,2487.71,0.5725507254382088,0.6264861111111111,Monitor / test
2024-07-04,Meta Ads,Shopping,Fintech,USA,185798,5889,0.0317,0.9,5300.1,400,13.25,41326.63,7.8,2024-07,0.06792324673119375,28.526141293232435,7.017597215146884,36026.53,0.871750975097655,0.7151805555555555,Scale budget
2024-12-30,TikTok Ads,Video,EdTech,India,194407,13122,0.0675,0.85,11153.7,379,29.43,56289.95,5.05,2024-12,0.028882792257277853,57.37293410216711,4.289738606919677,45136.25,0.8018527285954242,0.5510972222222222,Monitor / test
2024-11-13,Google Ads,Search,SaaS,UAE,188062,8143,0.0433,1.8,14657.4,614,23.87,124232.5,8.48,2024-11,0.0754021859265627,77.93919026703959,15.256355151664005,109575.1,0.8820163805767413,0.7809722222222223,Scale budget
2024-12-14,Meta Ads,Shopping,Healthcare,India,195710,4481,0.0229,0.53,2374.93,352,6.75,27223.39,11.46,2024-12,0.07855389422004017,12.1349445608298,6.075293461280964,24848.46,0.9127614158266109,0.7791388888888888,Scale budget
2024-04-09,Google Ads,Display,Healthcare,Australia,198824,9046,0.0455,3.61,32656.06,407,80.24,71482.19,2.19,2024-04,0.04499226177315941,164.2460668732145,7.90207716117621,38826.130000000005,0.5431580929459492,0.395125,Monitor / test
2024-06-08,Meta Ads,Shopping,SaaS,USA,196962,5081,0.0258,2.06,10466.86,282,37.12,24196.95,2.31,2024-06,0.05550088565243062,53.14151968399996,4.7622416847077345,13730.09,0.5674306059234738,0.4034444444444444,Monitor / test
2024-08-29,Google Ads,Shopping,SaaS,UAE,105386,3783,0.0359,1.82,6885.06,130,52.96,36776.35,5.34,2024-08,0.03436426116838488,65.33182775700757,9.72147766323024,29891.289999999997,0.8127856625249651,0.45279166666666665,Monitor / test
2024-09-05,Google Ads,Search,Healthcare,UAE,49425,1996,0.0404,1.27,2534.92,98,25.87,9253.27,3.65,2024-09,0.04909819639278557,51.28821446636318,4.635906813627255,6718.35,0.7260514391128757,0.5296388888888889,Monitor / test
2024-12-26,Meta Ads,Video,E-commerce,Canada,191141,4453,0.0233,1.23,5477.19,72,76.07,8367.46,1.53,2024-12,0.01616887491578711,28.655233571028717,1.8790613069840556,2890.2699999999995,0.3454178448418038,0.14955555555555555,Reduce spend
2024-05-23,TikTok Ads,Shopping,EdTech,Canada,91900,4696,0.0511,0.53,2488.88,367,6.78,109696.83,44.07,2024-05,0.07815161839863714,27.08248095756257,23.359631601362864,107207.95,0.9773112860234885,0.9446666666666665,Scale budget
2024-11-26,Google Ads,Video,Healthcare,Canada,11801,795,0.0674,2.97,2361.15,57,41.42,3966.25,1.68,2024-11,0.07169811320754717,200.08050165240235,4.988993710691824,1605.1,0.4046895682319571,0.57525,Monitor / test
2024-11-16,Meta Ads,Display,Fintech,UAE,193926,5837,0.0301,1.0,5837.0,193,30.24,28429.29,4.87,2024-11,0.033064930615041975,30.099109969782287,4.870531094740449,22592.29,0.7946835816160024,0.4496388888888889,Monitor / test
2024-02-27,Google Ads,Display,EdTech,India,35355,961,0.0272,2.22,2133.42,68,31.37,6145.22,2.88,2024-02,0.07075962539021852,60.34280865507,6.3946097814776275,4011.8,0.6528326081084159,0.5151527777777778,Monitor / test
2024-11-12,TikTok Ads,Shopping,Healthcare,UAE,133148,9120,0.0685,0.5,4560.0,279,16.34,83385.98,18.29,2024-11,0.030592105263157896,34.24760416979602,9.143199561403508,78825.98,0.9453145480811043,0.7292500000000001,Scale budget
2024-01-12,Meta Ads,Video,E-commerce,Canada,104657,4029,0.0385,0.71,2860.59,204,14.02,10401.62,3.64,2024-01,0.05063291139240506,27.33300209254995,2.5816877637130804,7541.030000000001,0.7249861079331873,0.5651527777777777,Monitor / test
2024-05-24,TikTok Ads,Shopping,Fintech,India,174160,9683,0.0556,1.84,17816.72,512,34.8,73177.92,4.11,2024-05,0.05287617473923371,102.30087276067984,7.55736032221419,55361.2,0.7565287452827301,0.5886944444444444,Monitor / test
2024-01-05,TikTok Ads,Display,Fintech,UAE,6015,410,0.0683,1.93,791.3,28,28.26,4383.32,5.54,2024-01,0.06829268292682927,131.55444721529508,10.691024390243902,3592.0199999999995,0.8194747360448245,0.7376388888888888,Scale budget
2024-01-06,Meta Ads,Search,Healthcare,Australia,17763,726,0.0409,1.94,1408.44,30,46.95,1946.19,1.38,2024-01,0.04132231404958678,79.29066036142544,2.680702479338843,537.75,0.2763090962341806,0.3541111111111111,Monitor / test
2024-10-14,TikTok Ads,Search,EdTech,India,97193,6230,0.0641,1.6,9968.0,306,32.58,81609.12,8.19,2024-10,0.04911717495987159,102.55882625291946,13.0993772070626,71641.12,0.8778567885550046,0.6853472222222222,Scale budget
2024-03-06,Meta Ads,Shopping,Healthcare,UAE,58682,1748,0.0298,1.49,2604.52,84,31.01,12746.65,4.89,2024-03,0.04805491990846682,44.383627006577825,7.292133867276887,10142.13,0.7956702349244703,0.5058888888888888,Monitor / test
2024-03-21,TikTok Ads,Display,SaaS,Canada,108196,5334,0.0493,0.99,5280.66,289,18.27,27408.56,5.19,2024-03,0.05418072740907386,48.80642537616917,5.13846269216348,22127.9,0.8073353725989253,0.6545694444444444,Monitor / test
2024-01-08,Google Ads,Search,Fintech,India,63243,1707,0.027,2.24,3823.68,37,103.34,3893.12,1.02,2024-01,0.021675454012888107,60.46012997485887,2.280679554774458,69.44000000000005,0.017836593785960888,0.14890277777777777,Reduce spend
2024-08-20,Google Ads,Search,E-commerce,UAE,152979,4650,0.0304,0.79,3673.5,330,11.13,91949.73,25.03,2024-08,0.07096774193548387,24.01309983723256,19.774135483870968,88276.23,0.9600488223293314,0.8129166666666666,Scale budget
2024-01-08,Google Ads,Display,EdTech,USA,132600,6802,0.0513,1.53,10407.06,97,107.29,6779.29,0.65,2024-01,0.014260511614231109,78.48461538461538,0.9966612760952661,-3627.7699999999995,-0.5351253597353115,0.1961527777777778,Reduce spend
2024-09-30,Google Ads,Video,Fintech,Australia,110977,4150,0.0374,1.13,4689.5,197,23.8,18314.78,3.91,2024-09,0.047469879518072286,42.25650359984501,4.4132,13625.279999999999,0.7439499682769872,0.5274305555555555,Monitor / test
2024-03-07,Google Ads,Search,EdTech,UK,87152,3599,0.0413,2.63,9465.37,127,74.53,25958.5,2.74,2024-03,0.03528757988330092,108.60760510372683,7.212697971658794,16493.129999999997,0.6353652946048499,0.36820833333333336,Monitor / test
2024-08-16,Meta Ads,Shopping,Fintech,UAE,164096,1919,0.0117,0.66,1266.54,139,9.11,7181.17,5.67,2024-08,0.07243355914538822,7.7182868564742595,3.7421417404898385,5914.63,0.8236304112004033,0.6273472222222223,Monitor / test
2024-08-10,Meta Ads,Shopping,Healthcare,Germany,21389,941,0.044,0.8,752.8,46,16.37,8479.43,11.26,2024-08,0.048884165781083955,35.19566132123988,9.011083953241233,7726.63,0.9112204476008411,0.7148749999999999,Scale budget
2024-04-27,Google Ads,Shopping,Healthcare,India,69323,2169,0.0313,2.19,4750.11,94,50.53,16337.12,3.44,2024-04,0.04333794375288151,68.52141424923906,7.532097740894422,11587.010000000002,0.7092443466167845,0.4046666666666667,Monitor / test
2024-05-17,Google Ads,Display,SaaS,UAE,138291,3318,0.024,0.83,2753.94,217,12.69,12761.51,4.63,2024-05,0.06540084388185655,19.914094192680654,3.846145268233876,10007.57,0.7841995187089928,0.5971388888888889,Monitor / test
2024-11-29,TikTok Ads,Shopping,EdTech,UK,72444,2339,0.0323,1.39,3251.21,153,21.25,12919.22,3.97,2024-11,0.06541256947413425,44.87894097509801,5.523394613082513,9668.009999999998,0.7483431662283017,0.5940694444444444,Monitor / test
2024-12-04,Google Ads,Search,Healthcare,UAE,160002,7520,0.047,2.96,22259.2,403,55.23,70823.58,3.18,2024-12,0.05359042553191489,139.11826102173725,9.41802925531915,48564.380000000005,0.6857091945931002,0.49518055555555546,Monitor / test
2024-08-12,Meta Ads,Search,E-commerce,USA,16246,448,0.0276,1.99,891.52,8,111.44,1955.09,2.19,2024-08,0.017857142857142856,54.87627723747384,4.364040178571428,1063.57,0.5440005319448209,0.19418055555555552,Reduce spend
2024-06-05,Meta Ads,Shopping,Fintech,Germany,15789,423,0.0268,1.81,765.63,7,109.38,1223.95,1.6,2024-06,0.016548463356973995,48.49135474064222,2.8934988179669032,458.32000000000005,0.37445974100249196,0.15931944444444443,Reduce spend
2024-06-05,Google Ads,Search,EdTech,Australia,25103,710,0.0283,2.34,1661.4,24,69.23,1896.75,1.14,2024-06,0.03380281690140845,66.18332470222684,2.671478873239437,235.3499999999999,0.12408066429418738,0.22680555555555554,Reduce spend
2024-12-28,TikTok Ads,Display,SaaS,India,138515,4377,0.0316,0.51,2232.27,285,7.83,10321.59,4.62,2024-12,0.06511309115832763,16.115727538533733,2.3581425633995887,8089.32,0.7837280884049841,0.6464305555555555,Monitor / test
2024-02-20,Meta Ads,Search,EdTech,Australia,180399,6025,0.0334,0.7,4217.5,191,22.08,17456.79,4.14,2024-02,0.03170124481327801,23.378732698074824,2.897392531120332,13239.29,0.7584034636379312,0.4604027777777778,Monitor / test
2024-05-16,Meta Ads,Video,E-commerce,UAE,62545,606,0.0097,1.96,1187.76,37,32.1,5627.66,4.74,2024-05,0.06105610561056106,18.990486849468383,9.286567656765676,4439.9,0.7889424734258998,0.4832361111111111,Monitor / test
2024-06-30,Google Ads,Shopping,Fintech,Canada,72526,2146,0.0296,1.56,3347.76,168,19.93,25859.74,7.72,2024-06,0.0782851817334576,46.159446267545434,12.050205032618827,22511.980000000003,0.870541621841519,0.7289305555555554,Scale budget
2024-07-07,Meta Ads,Display,EdTech,Australia,67823,2075,0.0306,1.83,3797.25,26,146.05,4093.91,1.08,2024-07,0.01253012048192771,55.98764430945254,1.972968674698795,296.65999999999985,0.07246373271517935,0.12473611111111113,Reduce spend
2024-06-23,Meta Ads,Display,E-commerce,India,164937,4453,0.027,1.08,4809.24,129,37.28,35127.5,7.3,2024-06,0.02896923422411857,29.158042161552594,7.888502133393218,30318.260000000002,0.8630918795815246,0.4500694444444444,Monitor / test
2024-12-14,Meta Ads,Search,EdTech,UK,114575,2039,0.0178,0.53,1080.67,113,9.56,10656.96,9.86,2024-12,0.055419323197645906,9.431987780929523,5.226562040215792,9576.289999999999,0.898594908867069,0.6309444444444444,Monitor / test
2024-06-13,Google Ads,Shopping,Fintech,Germany,132157,2999,0.0227,0.93,2789.07,152,18.35,21855.26,7.84,2024-06,0.050683561187062354,21.104216954077348,7.287515838612871,19066.19,0.8723844969128713,0.5822222222222222,Monitor / test
2024-01-11,TikTok Ads,Video,Healthcare,Germany,108145,3882,0.0359,0.94,3649.08,98,37.24,28726.52,7.87,2024-01,0.025244719216898505,33.74247538027648,7.399927872230809,25077.440000000002,0.8729717348290013,0.4905277777777778,Monitor / test
2024-04-29,TikTok Ads,Search,SaaS,India,72642,3014,0.0415,1.16,3496.24,59,59.26,15070.44,4.31,2024-04,0.019575315195753153,48.12973211090003,5.00014598540146,11574.2,0.7680067735248606,0.3761805555555555,Monitor / test
2024-04-07,TikTok Ads,Display,Healthcare,UAE,131678,8374,0.0636,0.91,7620.34,505,15.09,29682.01,3.9,2024-04,0.06030570814425603,57.8710186971248,3.5445438261284927,22061.67,0.7432673865415449,0.6819305555555555,Scale budget
2024-05-13,Google Ads,Video,E-commerce,Australia,34402,1314,0.0382,3.29,4323.06,17,254.3,1273.24,0.29,2024-05,0.01293759512937595,125.66304284634616,0.9689802130898021,-3049.8200000000006,-2.3953221702114296,0.12655555555555556,Reduce spend
2024-10-08,Meta Ads,Video,Healthcare,Germany,58276,1183,0.0203,1.49,1762.67,89,19.81,20273.71,11.5,2024-10,0.07523245984784446,30.2469284096369,17.137540152155537,18511.04,0.9130563670882144,0.7196666666666668,Scale budget
2024-08-14,Google Ads,Shopping,EdTech,Canada,168059,3462,0.0206,3.08,10662.96,154,69.24,33243.77,3.12,2024-08,0.04448295782784518,63.44771776578463,9.602475447718081,22580.809999999998,0.67924937514608,0.32731944444444444,Reduce spend
2024-08-16,Meta Ads,Video,Fintech,Canada,91123,1567,0.0172,2.33,3651.11,64,57.05,5119.1,1.4,2024-08,0.0408423739629866,40.06793016033274,3.2668155711550737,1467.9900000000002,0.2867672051727843,0.23411111111111108,Reduce spend
2024-05-28,Meta Ads,Shopping,Fintech,Australia,16344,452,0.0277,0.9,406.8,5,81.36,1102.53,2.71,2024-05,0.011061946902654867,24.889867841409693,2.439225663716814,695.73,0.6310304481510708,0.19879166666666664,Reduce spend
2024-03-26,TikTok Ads,Video,SaaS,UAE,99457,5808,0.0584,1.6,9292.8,80,116.16,12231.1,1.32,2024-03,0.013774104683195593,93.43535397206833,2.10590564738292,2938.300000000001,0.24023186794319407,0.24540277777777778,Reduce spend
2024-06-07,Meta Ads,Video,E-commerce,India,57375,843,0.0147,1.61,1357.23,40,33.93,9739.81,7.18,2024-06,0.04744958481613286,23.655424836601306,11.553748517200473,8382.58,0.86065128580537,0.4848888888888888,Monitor / test
2024-04-17,Google Ads,Display,E-commerce,UAE,115017,2771,0.0241,2.56,7093.76,95,74.67,22528.38,3.18,2024-04,0.03428365211115121,61.675752280097726,8.13005413208228,15434.62,0.685118947745022,0.29979166666666657,Reduce spend
2024-09-28,Meta Ads,Search,EdTech,USA,90431,1853,0.0205,1.7,3150.1,57,55.26,14834.93,4.71,2024-09,0.03076092822450081,34.83429354977828,8.0058985429034,11684.83,0.7876565646079894,0.3431666666666666,Monitor / test
2024-03-13,Meta Ads,Search,E-commerce,USA,140566,5046,0.0359,0.62,3128.52,384,8.15,59980.19,19.17,2024-03,0.07609988109393578,22.256591209823146,11.886680539040825,56851.670000000006,0.9478407787637886,0.8626666666666667,Scale budget
2024-02-28,Meta Ads,Search,EdTech,Germany,133583,3954,0.0296,0.65,2570.1,255,10.08,31756.12,12.36,2024-02,0.06449165402124431,19.239723617526185,8.031390996459281,29186.02,0.919067568708016,0.7467083333333333,Scale budget
2024-04-08,Google Ads,Video,E-commerce,USA,198555,13104,0.066,2.46,32235.84,336,95.94,58794.32,1.82,2024-04,0.02564102564102564,162.35219460602858,4.486746031746032,26558.48,0.45171846532113985,0.34205555555555556,Monitor / test
2024-09-23,Meta Ads,Display,Healthcare,UK,88560,1319,0.0149,0.52,685.88,81,8.47,8584.02,12.52,2024-09,0.06141015921152388,7.744805781391148,6.507975739196361,7898.14,0.9200980426420255,0.6797638888888888,Scale budget
2024-06-24,Google Ads,Display,Fintech,UAE,117217,5602,0.0478,3.49,19550.98,411,47.57,75729.26,3.87,2024-06,0.07336665476615495,166.7930419649027,13.518254194930382,56178.28,0.7418305685279376,0.6251527777777778,Monitor / test
2024-08-24,Meta Ads,Shopping,Fintech,UAE,104616,4048,0.0387,1.77,7164.96,233,30.75,45906.84,6.41,2024-08,0.05755928853754941,68.4881853636155,11.340622529644268,38741.88,0.8439239119921998,0.6254305555555555,Monitor / test
2024-02-14,TikTok Ads,Video,Healthcare,Canada,79553,2712,0.0341,0.31,840.72,170,4.95,16973.79,20.19,2024-02,0.06268436578171091,10.568048973640215,6.258772123893806,16133.070000000002,0.9504695180039343,0.8001527777777777,Scale budget
2024-08-20,Google Ads,Search,Fintech,USA,170904,4751,0.0278,1.12,5321.12,326,16.32,44297.15,8.32,2024-08,0.0686171332351084,31.135140195665404,9.323752894127553,38976.03,0.8798766963563118,0.6989166666666665,Scale budget
2024-07-14,Google Ads,Search,Healthcare,India,88807,4999,0.0563,2.37,11847.63,348,34.04,103474.34,8.73,2024-07,0.06961392278455691,133.4087403020032,20.69900780156031,91626.70999999999,0.8855017582136788,0.7639166666666666,Scale budget
2024-08-14,Meta Ads,Shopping,EdTech,Canada,157499,1574,0.01,1.76,2770.24,45,61.56,13465.06,4.86,2024-08,0.028589580686149935,17.588937072616332,8.554675984752222,10694.82,0.7942645632473974,0.304875,Reduce spend
2024-09-27,Meta Ads,Search,E-commerce,Australia,46846,983,0.021,0.72,707.76,11,64.34,2501.87,3.53,2024-09,0.011190233977619531,15.108226956410366,2.5451373346897253,1794.11,0.7171076035125726,0.2117361111111111,Reduce spend
2024-09-18,TikTok Ads,Search,Fintech,Germany,104986,6131,0.0584,0.36,2207.16,219,10.08,57679.5,26.13,2024-09,0.03572011091175991,21.02337454517745,9.407845375958244,55472.34,0.9617340649624216,0.7624583333333332,Scale budget
2024-05-24,Meta Ads,Shopping,EdTech,India,172516,6314,0.0366,0.72,4546.08,335,13.57,82096.8,18.06,2024-05,0.053056699398162814,26.351642746180065,13.00234399746595,77550.72,0.9446253690765047,0.7476666666666667,Scale budget
2024-08-23,Meta Ads,Display,E-commerce,India,187099,2469,0.0132,0.83,2049.27,103,19.9,3413.17,1.67,2024-08,0.04171729445119481,10.952864526266842,1.38240988254354,1363.9,0.39959919957107326,0.3202222222222222,Reduce spend
2024-04-04,Google Ads,Shopping,SaaS,India,111661,3930,0.0352,0.84,3301.2,310,10.65,21226.88,6.43,2024-04,0.07888040712468193,29.564485361943742,5.4012417302798985,17925.68,0.8444802062290832,0.7646527777777778,Scale budget
2024-06-09,Meta Ads,Display,EdTech,Germany,79441,3082,0.0388,0.53,1633.46,100,16.33,29391.59,17.99,2024-06,0.03244646333549643,20.561926461147266,9.536531473069436,27758.13,0.9444242383620621,0.6611111111111112,Scale budget
2024-04-15,Google Ads,Display,SaaS,Australia,14078,763,0.0542,2.26,1724.38,57,30.25,16289.72,9.45,2024-04,0.07470511140235911,122.48756925699674,21.34956749672346,14565.34,0.8941430546381399,0.804125,Scale budget
2024-01-07,Meta Ads,Shopping,Fintech,Australia,182235,5047,0.0277,0.74,3734.78,260,14.36,53450.65,14.31,2024-01,0.0515157519318407,20.494306801657203,10.590578561521696,49715.87,0.9301265747002141,0.6816944444444444,Scale budget
2024-02-24,Meta Ads,Video,SaaS,Canada,128629,2109,0.0164,1.29,2720.61,168,16.19,49256.62,18.1,2024-02,0.07965860597439545,21.15082912873458,23.35543859649123,46536.01,0.9447666120817871,0.76625,Scale budget
2024-04-02,Meta Ads,Display,Fintech,Canada,21309,432,0.0203,1.66,717.12,15,47.81,4449.98,6.21,2024-04,0.034722222222222224,33.65338589328453,10.300879629629629,3732.8599999999997,0.8388487139268042,0.4066388888888888,Monitor / test
2024-09-06,Google Ads,Search,Fintech,USA,167932,6717,0.04,2.46,16523.82,247,66.9,38475.06,2.33,2024-09,0.03677236861694209,98.3958983398042,5.728012505582849,21951.239999999998,0.5705316638882434,0.3539583333333334,Monitor / test
2024-01-08,TikTok Ads,Search,Fintech,UK,162795,8107,0.0498,0.96,7782.72,575,13.54,86383.64,11.1,2024-01,0.0709263599358579,47.806873675481434,10.65543850992969,78600.92,0.9099051625979179,0.8367499999999999,Scale budget
2024-08-18,Meta Ads,Search,EdTech,UK,50893,1124,0.0221,1.41,1584.84,29,54.65,2707.5,1.71,2024-08,0.025800711743772242,31.1406283771835,2.4088078291814945,1122.66,0.4146481994459834,0.2092638888888889,Reduce spend
2024-09-22,TikTok Ads,Display,SaaS,UAE,81619,3623,0.0444,0.47,1702.81,222,7.67,46448.44,27.28,2024-09,0.061275186309688104,20.86291182200223,12.82043610267734,44745.630000000005,0.9633397806255711,0.839,Scale budget
2024-07-25,Meta Ads,Search,EdTech,Germany,154381,1698,0.011,1.85,3141.3,70,44.88,19750.24,6.29,2024-07,0.04122497055359246,20.347711182075514,11.631472320376915,16608.940000000002,0.8409487682175002,0.41740277777777773,Monitor / test
2024-01-12,Google Ads,Search,Fintech,India,124273,3603,0.029,1.55,5584.65,167,33.44,20460.25,3.66,2024-01,0.04635026366916459,44.93856268055008,5.678670552317513,14875.6,0.7270487897264207,0.4454444444444444,Monitor / test
2024-12-01,Meta Ads,Video,Healthcare,Germany,6969,176,0.0253,1.08,190.08,10,19.01,2562.91,13.48,2024-12,0.056818181818181816,27.27507533362032,14.561988636363635,2372.83,0.9258343055355046,0.6719166666666667,Scale budget
2024-05-24,TikTok Ads,Display,SaaS,UK,29089,1076,0.037,0.65,699.4,40,17.48,8233.32,11.77,2024-05,0.03717472118959108,24.043452851593386,7.6517843866171,7533.92,0.9150524940121361,0.6412777777777778,Monitor / test
2024-07-10,Google Ads,Shopping,SaaS,UK,10704,489,0.0457,1.71,836.19,36,23.23,5339.04,6.38,2024-07,0.0736196319018405,78.1193946188341,10.918282208588957,4502.85,0.8433819563067518,0.7433194444444445,Scale budget
2024-12-04,TikTok Ads,Search,E-commerce,Australia,22772,1045,0.0459,0.95,992.75,38,26.12,5743.6,5.79,2024-12,0.03636363636363636,43.595204637273845,5.496267942583732,4750.85,0.8271554425795669,0.5606111111111112,Monitor / test
2024-04-11,Google Ads,Search,Fintech,Germany,68449,3285,0.048,2.38,7818.3,243,32.17,60681.21,7.76,2024-04,0.07397260273972603,114.22080673201947,18.4722100456621,52862.909999999996,0.8711578098063634,0.750361111111111,Scale budget
2024-10-26,Google Ads,Search,SaaS,UAE,51819,2497,0.0482,2.88,7191.36,138,52.11,37600.62,5.23,2024-10,0.0552663195835002,138.77844034041567,15.058317981577895,30409.260000000002,0.8087435792282148,0.57975,Monitor / test
2024-11-19,Google Ads,Video,Fintech,Australia,173722,3821,0.022,1.54,5884.34,201,29.28,44895.5,7.63,2024-11,0.052604030358544884,33.872163571683494,11.74967286050772,39011.16,0.8689325210767227,0.5510277777777778,Monitor / test
2024-12-15,Google Ads,Shopping,SaaS,USA,119014,5938,0.0499,2.88,17101.44,95,180.02,23773.95,1.39,2024-12,0.015998652745031997,143.69267481136671,4.003696530818457,6672.510000000002,0.2806647612197385,0.2309166666666667,Reduce spend
2024-05-20,Google Ads,Search,SaaS,Australia,159741,6868,0.043,1.37,9409.16,336,28.0,33272.11,3.54,2024-05,0.0489225393127548,58.902598581453724,4.8445122306348285,23862.95,0.7172057918779422,0.5274861111111112,Monitor / test
2024-02-29,Google Ads,Shopping,Fintech,Germany,167982,7693,0.0458,2.64,20309.52,193,105.23,10777.69,0.53,2024-02,0.02508774210321071,120.90295388791657,1.4009736123748864,-9531.83,-0.8844038008144602,0.22298611111111113,Reduce spend
2024-06-08,Google Ads,Video,Fintech,Germany,96658,2822,0.0292,3.37,9510.14,112,84.91,25060.16,2.64,2024-06,0.039688164422395464,98.38957975542634,8.88028348688873,15550.02,0.6205076104861262,0.32129166666666664,Reduce spend
2024-01-19,Meta Ads,Video,EdTech,India,43467,991,0.0228,1.9,1882.9,25,75.32,3146.23,1.67,2024-01,0.025227043390514632,43.31791934110935,3.174803229061554,1263.33,0.4015377133903116,0.19258333333333333,Reduce spend
