TransactionID,Amount,CustomerID,Timestamp,MerchantID,FraudIndicator,TransactionAmount,AnomalyScore,Category,Name,Age,Address,AccountBalance,LastLogin,SuspiciousFlag,MerchantName,Location,Month,DayOfWeek,Hour,ai_risk_score,ai_risk_level,ai_intervention
22,99.1,1117,2022-01-01 21:00:00,2220,0,53.85,0.1242,Online,Customer 1117,52,Address 1117,7288.04,2022-04-27,0,Merchant 2220,Location 2220,2022-01,Saturday,21,0.0864,Low Risk,No action
23,85.42,1613,2022-01-01 22:00:00,2465,0,15.58,0.1953,Travel,Customer 1613,21,Address 1613,8486.46,2023-09-05,0,Merchant 2465,Location 2465,2022-01,Saturday,22,0.096,Low Risk,No action
24,84.05,1643,2022-01-01 23:00:00,2480,0,13.39,0.6173,Retail,Customer 1643,52,Address 1643,7833.8,2023-10-05,0,Merchant 2480,Location 2480,2022-01,Saturday,23,0.2738,Low Risk,No action
25,50.26,1788,2022-01-02 00:00:00,2305,0,98.46,0.2444,Travel,Customer 1788,27,Address 1788,4384.8,2024-02-27,0,Merchant 2305,Location 2305,2022-01,Sunday,0,0.1622,Low Risk,No action
26,52.59,1251,2022-01-02 01:00:00,2753,0,95.19,0.4871,Other,Customer 1251,34,Address 1251,1820.94,2022-09-08,0,Merchant 2753,Location 2753,2022-01,Sunday,1,0.2909,Low Risk,No action
27,20.49,1960,2022-01-02 02:00:00,2301,0,77.51,0.4227,Other,Customer 1960,34,Address 1960,9934.5,2024-08-17,0,Merchant 2301,Location 2301,2022-01,Sunday,2,0.1772,Low Risk,No action
28,12.4,1187,2022-01-02 03:00:00,2914,0,51.77,0.8381,Online,Customer 1187,46,Address 1187,4845.97,2022-07-06,0,Merchant 2914,Location 2914,2022-01,Sunday,3,0.399,Medium Risk,Monitor
29,25.33,1121,2022-01-02 04:00:00,2322,0,73.08,0.4633,Other,Customer 1121,23,Address 1121,4584.99,2022-05-01,0,Merchant 2322,Location 2322,2022-01,Sunday,4,0.2548,Low Risk,No action
30,70.08,1117,2022-01-02 05:00:00,2932,0,83.88,0.6466,Retail,Customer 1117,52,Address 1117,7288.04,2022-04-27,0,Merchant 2932,Location 2932,2022-01,Sunday,5,0.2932,Low Risk,No action
31,92.62,1475,2022-01-02 06:00:00,2951,0,59.96,0.0286,Food,Customer 1475,25,Address 1475,2805.31,2023-04-20,0,Merchant 2951,Location 2951,2022-01,Sunday,6,0.0969,Low Risk,No action
32,77.73,1993,2022-01-02 07:00:00,2313,0,64.83,0.114,Online,Customer 1993,60,Address 1993,8330.44,2024-09-19,0,Merchant 2313,Location 2313,2022-01,Sunday,7,0.0688,Low Risk,No action
33,59.35,1030,2022-01-02 08:00:00,2693,0,16.32,0.7905,Other,Customer 1030,54,Address 1030,3767.56,2022-01-30,0,Merchant 2693,Location 2693,2022-01,Sunday,8,0.3928,Medium Risk,Monitor
34,61.35,1116,2022-01-02 09:00:00,2686,0,74.89,0.4961,Retail,Customer 1116,22,Address 1116,3038.91,2022-04-26,0,Merchant 2686,Location 2686,2022-01,Sunday,9,0.2844,Low Risk,No action
35,60.47,1676,2022-01-02 10:00:00,2173,0,63.48,0.0234,Online,Customer 1676,38,Address 1676,7624.57,2023-11-07,0,Merchant 2173,Location 2173,2022-01,Sunday,10,0.0401,Low Risk,No action
36,42.21,1547,2022-01-02 11:00:00,2674,0,55.07,0.1056,Retail,Customer 1547,31,Address 1547,6742.17,2023-07-01,0,Merchant 2674,Location 2674,2022-01,Sunday,11,0.0839,Low Risk,No action
37,71.27,1527,2022-01-02 12:00:00,2832,0,15.86,0.1174,Food,Customer 1527,59,Address 1527,3545.73,2023-06-11,0,Merchant 2832,Location 2832,2022-01,Sunday,12,0.1247,Low Risk,No action
38,46.21,1087,2022-01-02 13:00:00,2967,0,35.26,0.6826,Retail,Customer 1087,28,Address 1087,2934.81,2022-03-28,0,Merchant 2967,Location 2967,2022-01,Sunday,13,0.3577,Medium Risk,Monitor
39,14.63,1207,2022-01-02 14:00:00,2201,0,53.31,0.9385,Other,Customer 1207,38,Address 1207,5655.63,2022-07-26,0,Merchant 2201,Location 2201,2022-01,Sunday,14,0.4296,Medium Risk,Monitor
40,80.54,1038,2022-01-02 15:00:00,2995,0,89.31,0.5326,Other,Customer 1038,62,Address 1038,5402.92,2022-02-07,0,Merchant 2995,Location 2995,2022-01,Sunday,15,0.2732,Low Risk,No action
41,47.87,1800,2022-01-02 16:00:00,2596,0,13.16,0.3195,Other,Customer 1800,58,Address 1800,6631.37,2024-03-10,0,Merchant 2596,Location 2596,2022-01,Sunday,16,0.1724,Low Risk,No action
42,85.11,1510,2022-01-02 17:00:00,2518,0,39.31,0.2149,Retail,Customer 1510,53,Address 1510,7685.51,2023-05-25,0,Merchant 2518,Location 2518,2022-01,Sunday,17,0.1142,Low Risk,No action
43,55.82,1104,2022-01-02 18:00:00,2910,0,62.4,0.5673,Online,Customer 1104,52,Address 1104,1693.07,2022-04-14,0,Merchant 2910,Location 2910,2022-01,Sunday,18,0.3223,Medium Risk,Monitor
44,86.97,2000,2022-01-02 19:00:00,2423,0,88.12,0.7663,Food,Customer 2000,42,Address 2000,4853.02,2024-09-26,0,Merchant 2423,Location 2423,2022-01,Sunday,19,0.3704,Medium Risk,Monitor
45,69.76,1644,2022-01-02 20:00:00,2364,0,29.2,0.7076,Online,Customer 1644,51,Address 1644,3307.32,2023-10-06,1,Merchant 2364,Location 2364,2022-01,Sunday,20,0.564,Medium Risk,Monitor
46,79.36,1238,2022-01-02 21:00:00,2274,0,15.03,0.9923,Online,Customer 1238,38,Address 1238,8228.9,2022-08-26,0,Merchant 2274,Location 2274,2022-01,Sunday,21,0.4198,Medium Risk,Monitor
47,72.74,1759,2022-01-02 22:00:00,2639,0,64.06,0.5317,Food,Customer 1759,33,Address 1759,6608.39,2024-01-29,0,Merchant 2639,Location 2639,2022-01,Sunday,22,0.2604,Low Risk,No action
48,17.64,1994,2022-01-02 23:00:00,2233,0,37.31,0.0322,Travel,Customer 1994,63,Address 1994,8791.3,2024-09-20,0,Merchant 2233,Location 2233,2022-01,Sunday,23,0.0306,Low Risk,No action
49,30.79,1752,2022-01-03 00:00:00,2239,1,11.94,0.0061,Other,Customer 1752,46,Address 1752,6552.42,2024-01-22,0,Merchant 2239,Location 2239,2022-01,Monday,0,0.3457,Medium Risk,Monitor
50,61.35,1415,2022-01-03 01:00:00,2946,0,17.92,0.0447,Online,Customer 1415,57,Address 1415,9258.31,2023-02-19,0,Merchant 2946,Location 2946,2022-01,Monday,1,0.0319,Low Risk,No action
51,42.08,1044,2022-01-03 02:00:00,2638,0,28.42,0.9182,Retail,Customer 1044,22,Address 1044,5084.27,2022-02-13,0,Merchant 2638,Location 2638,2022-01,Monday,2,0.4278,Medium Risk,Monitor
52,90.81,1374,2022-01-03 03:00:00,2770,0,95.91,0.0555,Retail,Customer 1374,47,Address 1374,2897.0,2023-01-09,0,Merchant 2770,Location 2770,2022-01,Monday,3,0.1111,Low Risk,No action
53,42.08,1345,2022-01-03 04:00:00,2262,0,44.01,0.5687,Food,Customer 1345,52,Address 1345,7264.81,2022-12-11,0,Merchant 2262,Location 2262,2022-01,Monday,4,0.2632,Low Risk,No action
54,87.78,1680,2022-01-03 05:00:00,2920,0,39.08,0.1116,Online,Customer 1680,43,Address 1680,1308.38,2023-11-11,0,Merchant 2920,Location 2920,2022-01,Monday,5,0.1454,Low Risk,No action
55,62.13,1043,2022-01-03 06:00:00,2312,0,79.91,0.6294,Other,Customer 1043,25,Address 1043,8236.48,2022-02-12,0,Merchant 2312,Location 2312,2022-01,Monday,6,0.2744,Low Risk,No action
56,83.15,1611,2022-01-03 07:00:00,2292,0,99.4,0.5048,Retail,Customer 1611,21,Address 1611,3612.87,2023-09-03,0,Merchant 2292,Location 2292,2022-01,Monday,7,0.2788,Low Risk,No action
57,49.72,1704,2022-01-03 08:00:00,2082,0,98.02,0.7125,Travel,Customer 1704,23,Address 1704,1670.49,2023-12-05,0,Merchant 2082,Location 2082,2022-01,Monday,8,0.3832,Medium Risk,Monitor
58,13.08,1405,2022-01-03 09:00:00,2921,0,85.98,0.6233,Food,Customer 1405,59,Address 1405,9246.52,2023-02-09,0,Merchant 2921,Location 2921,2022-01,Monday,9,0.2596,Low Risk,No action
59,28.63,1161,2022-01-03 10:00:00,2033,0,61.37,0.6889,Food,Customer 1161,55,Address 1161,7545.03,2022-06-10,0,Merchant 2033,Location 2033,2022-01,Monday,10,0.308,Medium Risk,Monitor
60,82.92,1336,2022-01-03 11:00:00,2479,0,56.39,0.7012,Retail,Customer 1336,42,Address 1336,9996.99,2022-12-02,0,Merchant 2479,Location 2479,2022-01,Monday,11,0.2829,Low Risk,No action
61,76.11,1714,2022-01-03 12:00:00,2684,0,52.22,0.3818,Travel,Customer 1714,36,Address 1714,8792.1,2023-12-15,0,Merchant 2684,Location 2684,2022-01,Monday,12,0.1716,Low Risk,No action
62,66.56,1865,2022-01-03 13:00:00,2234,0,88.01,0.4479,Travel,Customer 1865,45,Address 1865,4468.34,2024-05-14,0,Merchant 2234,Location 2234,2022-01,Monday,13,0.2503,Low Risk,No action
63,50.52,1702,2022-01-03 14:00:00,2286,0,22.41,0.769,Other,Customer 1702,32,Address 1702,4756.91,2023-12-03,0,Merchant 2286,Location 2286,2022-01,Monday,14,0.3722,Medium Risk,Monitor
64,55.16,1483,2022-01-03 15:00:00,2131,0,10.97,0.3391,Online,Customer 1483,56,Address 1483,7541.2,2023-04-28,0,Merchant 2131,Location 2131,2022-01,Monday,15,0.1714,Low Risk,No action
65,78.33,1139,2022-01-03 16:00:00,2195,0,74.8,0.0952,Other,Customer 1139,21,Address 1139,3039.51,2022-05-19,0,Merchant 2195,Location 2195,2022-01,Monday,16,0.1226,Low Risk,No action
66,51.41,1108,2022-01-03 17:00:00,2561,0,16.35,0.1073,Other,Customer 1108,33,Address 1108,7794.95,2022-04-18,0,Merchant 2561,Location 2561,2022-01,Monday,17,0.0717,Low Risk,No action
67,81.35,1056,2022-01-03 18:00:00,2171,0,59.49,0.1696,Retail,Customer 1056,46,Address 1056,3507.49,2022-02-25,0,Merchant 2171,Location 2171,2022-01,Monday,18,0.1422,Low Risk,No action
68,95.23,1548,2022-01-03 19:00:00,2781,0,64.69,0.5467,Other,Customer 1548,29,Address 1548,4483.16,2023-07-02,0,Merchant 2781,Location 2781,2022-01,Monday,19,0.2871,Low Risk,No action
69,87.16,1887,2022-01-03 20:00:00,2038,0,40.12,0.7133,Retail,Customer 1887,40,Address 1887,3976.34,2024-06-05,0,Merchant 2038,Location 2038,2022-01,Monday,20,0.3599,Medium Risk,Monitor
70,78.7,1897,2022-01-03 21:00:00,2475,0,33.19,0.2189,Other,Customer 1897,27,Address 1897,2518.74,2024-06-15,0,Merchant 2475,Location 2475,2022-01,Monday,21,0.1743,Low Risk,No action
71,23.81,1154,2022-01-03 22:00:00,2487,0,64.24,0.5521,Online,Customer 1154,48,Address 1154,5544.57,2022-06-03,0,Merchant 2487,Location 2487,2022-01,Monday,22,0.2776,Low Risk,No action
72,57.32,1286,2022-01-03 23:00:00,2495,1,53.92,0.1618,Online,Customer 1286,19,Address 1286,7665.93,2022-10-13,0,Merchant 2495,Location 2495,2022-01,Monday,23,0.3936,Medium Risk,Monitor
73,67.93,1149,2022-01-04 00:00:00,2200,0,55.6,0.686,Travel,Customer 1149,34,Address 1149,7990.34,2022-05-29,0,Merchant 2200,Location 2200,2022-01,Tuesday,0,0.3003,Medium Risk,Monitor
74,16.26,1158,2022-01-04 01:00:00,2296,0,95.55,0.9574,Travel,Customer 1158,50,Address 1158,5037.21,2022-06-07,0,Merchant 2296,Location 2296,2022-01,Tuesday,1,0.4421,Medium Risk,Monitor
75,13.42,1606,2022-01-04 02:00:00,2872,0,25.74,0.7843,Other,Customer 1606,60,Address 1606,4152.72,2023-08-29,0,Merchant 2872,Location 2872,2022-01,Tuesday,2,0.387,Medium Risk,Monitor
76,42.77,1422,2022-01-04 03:00:00,2036,0,92.09,0.4886,Food,Customer 1422,32,Address 1422,6988.0,2023-02-26,0,Merchant 2036,Location 2036,2022-01,Tuesday,3,0.237,Low Risk,No action
77,41.21,1007,2022-01-04 04:00:00,2753,0,66.15,0.2179,Travel,Customer 1007,33,Address 1007,2957.76,2022-01-07,0,Merchant 2753,Location 2753,2022-01,Tuesday,4,0.1691,Low Risk,No action
78,58.14,1985,2022-01-04 05:00:00,2116,0,70.85,0.3941,Other,Customer 1985,47,Address 1985,3816.96,2024-09-11,0,Merchant 2116,Location 2116,2022-01,Tuesday,5,0.2343,Low Risk,No action
79,14.63,1776,2022-01-04 06:00:00,2203,0,65.47,0.6085,Online,Customer 1776,31,Address 1776,3715.77,2024-02-15,0,Merchant 2203,Location 2203,2022-01,Tuesday,6,0.3156,Medium Risk,Monitor
80,19.14,1159,2022-01-04 07:00:00,2083,0,25.27,0.0256,Retail,Customer 1159,54,Address 1159,5766.57,2022-06-08,0,Merchant 2083,Location 2083,2022-01,Tuesday,7,0.0621,Low Risk,No action
81,29.83,1493,2022-01-04 08:00:00,2552,0,54.43,0.2008,Travel,Customer 1493,44,Address 1493,5703.04,2023-05-08,0,Merchant 2552,Location 2552,2022-01,Tuesday,8,0.1331,Low Risk,No action
82,38.43,1322,2022-01-04 09:00:00,2282,0,89.92,0.085,Online,Customer 1322,29,Address 1322,9411.51,2022-11-18,0,Merchant 2282,Location 2282,2022-01,Tuesday,9,0.0439,Low Risk,No action
83,18.11,1731,2022-01-04 10:00:00,2610,0,70.55,0.0149,Food,Customer 1731,62,Address 1731,5275.95,2024-01-01,0,Merchant 2610,Location 2610,2022-01,Tuesday,10,0.0634,Low Risk,No action
84,22.97,1876,2022-01-04 11:00:00,2901,0,11.76,0.8501,Online,Customer 1876,31,Address 1876,8278.71,2024-05-25,0,Merchant 2901,Location 2901,2022-01,Tuesday,11,0.3652,Medium Risk,Monitor
85,22.45,1920,2022-01-04 12:00:00,2323,0,47.9,0.8858,Retail,Customer 1920,33,Address 1920,3434.61,2024-07-08,0,Merchant 2323,Location 2323,2022-01,Tuesday,12,0.435,Medium Risk,Monitor
86,70.51,1618,2022-01-04 13:00:00,2534,0,30.12,0.6619,Retail,Customer 1618,27,Address 1618,6741.43,2023-09-10,0,Merchant 2534,Location 2534,2022-01,Tuesday,13,0.3074,Medium Risk,Monitor
87,78.55,1054,2022-01-04 14:00:00,2586,0,59.06,0.7086,Retail,Customer 1054,27,Address 1054,2873.84,2022-02-23,0,Merchant 2586,Location 2586,2022-01,Tuesday,14,0.3704,Medium Risk,Monitor
88,35.6,1886,2022-01-04 15:00:00,2882,0,61.03,0.0366,Travel,Customer 1886,37,Address 1886,9467.31,2024-06-04,0,Merchant 2882,Location 2882,2022-01,Tuesday,15,0.0241,Low Risk,No action
89,26.01,1071,2022-01-04 16:00:00,2055,0,77.76,0.4403,Retail,Customer 1071,64,Address 1071,4962.28,2022-03-12,0,Merchant 2055,Location 2055,2022-01,Tuesday,16,0.2407,Low Risk,No action
90,85.36,1975,2022-01-04 17:00:00,2622,0,49.16,0.0002,Retail,Customer 1975,51,Address 1975,8710.76,2024-09-01,0,Merchant 2622,Location 2622,2022-01,Tuesday,17,0.0155,Low Risk,No action
91,48.1,1726,2022-01-04 18:00:00,2140,0,70.29,0.5326,Online,Customer 1726,23,Address 1726,9885.27,2023-12-27,0,Merchant 2140,Location 2140,2022-01,Tuesday,18,0.2203,Low Risk,No action
92,29.03,1435,2022-01-04 19:00:00,2010,0,33.84,0.1104,Food,Customer 1435,35,Address 1435,8804.52,2023-03-11,0,Merchant 2010,Location 2010,2022-01,Tuesday,19,0.0604,Low Risk,No action
93,98.15,1684,2022-01-04 20:00:00,2111,0,49.22,0.1902,Travel,Customer 1684,43,Address 1684,7560.73,2023-11-15,0,Merchant 2111,Location 2111,2022-01,Tuesday,20,0.1047,Low Risk,No action
94,79.77,1277,2022-01-04 21:00:00,2680,0,85.87,0.4604,Travel,Customer 1277,22,Address 1277,5042.2,2022-10-04,0,Merchant 2680,Location 2680,2022-01,Tuesday,21,0.2483,Low Risk,No action
95,50.4,1828,2022-01-04 22:00:00,2600,1,72.29,0.6351,Other,Customer 1828,62,Address 1828,2077.51,2024-04-07,0,Merchant 2600,Location 2600,2022-01,Tuesday,22,0.6458,High Risk,Immediate review
96,98.5,1466,2022-01-04 23:00:00,2054,0,26.2,0.495,Retail,Customer 1466,41,Address 1466,2569.13,2023-04-11,0,Merchant 2054,Location 2054,2022-01,Tuesday,23,0.2885,Low Risk,No action
97,18.17,1922,2022-01-05 00:00:00,2432,0,90.08,0.3041,Other,Customer 1922,46,Address 1922,5101.11,2024-07-10,0,Merchant 2432,Location 2432,2022-01,Wednesday,0,0.1819,Low Risk,No action
98,55.89,1183,2022-01-05 01:00:00,2346,0,21.11,0.2916,Other,Customer 1183,40,Address 1183,7149.96,2022-07-02,0,Merchant 2346,Location 2346,2022-01,Wednesday,1,0.1558,Low Risk,No action
99,76.84,1866,2022-01-05 02:00:00,2299,0,15.15,0.2419,Online,Customer 1866,35,Address 1866,9510.17,2024-05-15,0,Merchant 2299,Location 2299,2022-01,Wednesday,2,0.1,Low Risk,No action
100,13.1,1514,2022-01-05 03:00:00,2027,0,94.01,0.3375,Other,Customer 1514,20,Address 1514,2045.06,2023-05-29,0,Merchant 2027,Location 2027,2022-01,Wednesday,3,0.2304,Low Risk,No action
101,58.92,1023,2022-01-05 04:00:00,2433,0,88.98,0.9604,Food,Customer 1023,34,Address 1023,9545.47,2022-01-23,0,Merchant 2433,Location 2433,2022-01,Wednesday,4,0.3909,Medium Risk,Monitor
102,61.66,1012,2022-01-05 05:00:00,2736,0,97.49,0.2646,Online,Customer 1012,45,Address 1012,2706.15,2022-01-12,0,Merchant 2736,Location 2736,2022-01,Wednesday,5,0.1914,Low Risk,No action
103,12.46,1585,2022-01-05 06:00:00,2744,0,83.77,0.3333,Retail,Customer 1585,37,Address 1585,7900.24,2023-08-08,0,Merchant 2744,Location 2744,2022-01,Wednesday,6,0.1628,Low Risk,No action
104,16.65,1914,2022-01-05 07:00:00,2433,0,93.57,0.3399,Travel,Customer 1914,18,Address 1914,6131.25,2024-07-02,0,Merchant 2433,Location 2433,2022-01,Wednesday,7,0.19,Low Risk,No action
105,64.18,1979,2022-01-05 08:00:00,2453,0,39.71,0.2223,Other,Customer 1979,20,Address 1979,8722.69,2024-09-05,0,Merchant 2453,Location 2453,2022-01,Wednesday,8,0.1052,Low Risk,No action
106,13.92,1995,2022-01-05 09:00:00,2154,0,54.89,0.4216,Travel,Customer 1995,38,Address 1995,2240.52,2024-09-21,0,Merchant 2154,Location 2154,2022-01,Wednesday,9,0.265,Low Risk,No action
107,58.08,1359,2022-01-05 10:00:00,2908,0,85.93,0.3665,Online,Customer 1359,53,Address 1359,8430.99,2022-12-25,0,Merchant 2908,Location 2908,2022-01,Wednesday,10,0.1708,Low Risk,No action
108,96.81,1609,2022-01-05 11:00:00,2967,0,64.59,0.8913,Online,Customer 1609,29,Address 1609,7085.44,2023-09-01,0,Merchant 2967,Location 2967,2022-01,Wednesday,11,0.3969,Medium Risk,Monitor
109,48.74,1796,2022-01-05 12:00:00,2508,0,66.51,0.7824,Food,Customer 1796,33,Address 1796,5588.05,2024-03-06,0,Merchant 2508,Location 2508,2022-01,Wednesday,12,0.3696,Medium Risk,Monitor
110,44.24,1685,2022-01-05 13:00:00,2580,0,57.44,0.0063,Other,Customer 1685,18,Address 1685,3046.12,2023-11-16,0,Merchant 2580,Location 2580,2022-01,Wednesday,13,0.0841,Low Risk,No action
111,22.59,1961,2022-01-05 14:00:00,2570,0,10.63,0.6865,Retail,Customer 1961,47,Address 1961,3454.65,2024-08-18,0,Merchant 2570,Location 2570,2022-01,Wednesday,14,0.3528,Medium Risk,Monitor
112,40.48,1740,2022-01-05 15:00:00,2493,0,21.31,0.2906,Other,Customer 1740,19,Address 1740,1783.74,2024-01-10,0,Merchant 2493,Location 2493,2022-01,Wednesday,15,0.2129,Low Risk,No action
113,74.44,1836,2022-01-05 16:00:00,2628,0,31.09,0.3788,Online,Customer 1836,47,Address 1836,4018.77,2024-04-15,0,Merchant 2628,Location 2628,2022-01,Wednesday,16,0.2272,Low Risk,No action
114,77.58,1120,2022-01-05 17:00:00,2240,0,97.86,0.8385,Travel,Customer 1120,47,Address 1120,7450.42,2022-04-30,0,Merchant 2240,Location 2240,2022-01,Wednesday,17,0.3706,Medium Risk,Monitor
115,40.64,1841,2022-01-05 18:00:00,2941,0,20.93,0.8549,Retail,Customer 1841,22,Address 1841,9319.48,2024-04-20,0,Merchant 2941,Location 2941,2022-01,Wednesday,18,0.3535,Medium Risk,Monitor
116,62.92,1930,2022-01-05 19:00:00,2507,0,84.67,0.4309,Food,Customer 1930,61,Address 1930,1111.77,2024-07-18,0,Merchant 2507,Location 2507,2022-01,Wednesday,19,0.2796,Low Risk,No action
117,43.7,1423,2022-01-05 20:00:00,2128,0,75.34,0.8627,Travel,Customer 1423,40,Address 1423,7025.45,2023-02-27,0,Merchant 2128,Location 2128,2022-01,Wednesday,20,0.3871,Medium Risk,Monitor
118,56.6,1575,2022-01-05 21:00:00,2428,0,31.03,0.923,Retail,Customer 1575,21,Address 1575,7192.65,2023-07-29,0,Merchant 2428,Location 2428,2022-01,Wednesday,21,0.4068,Medium Risk,Monitor
119,17.73,1780,2022-01-05 22:00:00,2572,1,19.53,0.8521,Retail,Customer 1780,48,Address 1780,8473.63,2024-02-19,0,Merchant 2572,Location 2572,2022-01,Wednesday,22,0.6632,High Risk,Immediate review
120,68.83,1894,2022-01-05 23:00:00,2304,0,82.49,0.0428,Retail,Customer 1894,26,Address 1894,9728.59,2024-06-12,0,Merchant 2304,Location 2304,2022-01,Wednesday,23,0.0229,Low Risk,No action
121,32.34,1240,2022-01-06 00:00:00,2794,0,95.09,0.746,Retail,Customer 1240,43,Address 1240,1883.49,2022-08-28,0,Merchant 2794,Location 2794,2022-01,Thursday,0,0.393,Medium Risk,Monitor
122,87.57,1167,2022-01-06 01:00:00,2846,0,48.78,0.5894,Retail,Customer 1167,33,Address 1167,4121.32,2022-06-16,0,Merchant 2846,Location 2846,2022-01,Thursday,1,0.3057,Medium Risk,Monitor
123,70.84,1330,2022-01-06 02:00:00,2169,1,76.92,0.2695,Other,Customer 1330,63,Address 1330,8773.96,2022-11-26,1,Merchant 2169,Location 2169,2022-01,Thursday,2,0.6236,High Risk,Immediate review
124,26.53,1171,2022-01-06 03:00:00,2948,0,52.74,0.4137,Travel,Customer 1171,22,Address 1171,4631.53,2022-06-20,0,Merchant 2948,Location 2948,2022-01,Thursday,3,0.2348,Low Risk,No action
125,88.2,1749,2022-01-06 04:00:00,2148,0,83.11,0.7921,Retail,Customer 1749,44,Address 1749,3334.19,2024-01-19,0,Merchant 2148,Location 2148,2022-01,Thursday,4,0.3987,Medium Risk,Monitor
